food_name,protein,carbs,fat,calories
yellowfin tuna cooked,8.2,0.0,0.2,37
ling cooked,36.8,0.0,1.2,168
eel cooked,6.7,0.0,4.2,67
sablefish raw,51.8,0.0,59.1,753
salmon nuggets,3.6,4.0,3.3,60
yellowtail raw,86.5,0.0,19.6,546
butterfish cooked,5.5,0.0,2.6,47
caviar,3.9,0.6,2.9,42
pollock raw,75.0,0.0,3.8,355
catfish cooked,26.4,0.0,10.3,206
whiting raw,16.8,0.0,1.2,83
pink salmon raw,65.2,0.0,14.0,404
yellowfin tuna raw,6.9,0.0,0.1,31
mackerel raw,20.8,0.0,15.6,230
turbot raw,65.5,0.0,12.0,388
cusk cooked,23.1,0.0,0.8,106
atlantic croaker raw,14.0,0.0,2.5,82
sucker cooked,26.6,0.0,3.7,148
spot raw,11.8,0.0,3.1,79
drum cooked,34.6,0.0,9.7,236
crayfish raw,0.6,0.0,0.048,3
tilefish cooked,73.5,0.0,14.1,441
bluefish cooked,30.1,0.0,6.4,186
grouper cooked,50.2,0.0,2.6,238
sheepshead raw,48.1,0.0,5.7,257
herring kippered,9.8,0.0,4.9,87
grouper raw,50.2,0.0,2.6,238
ocean perch cooked,9.3,0.0,0.9,48
ling raw,36.7,0.0,1.2,168
lingcod cooked,68.4,0.0,4.1,329
florida pompano raw,20.7,0.0,10.6,184
rockfish cooked,33.1,0.0,2.4,162
seatrout cooked,39.9,0.0,8.6,247
sockeye salmon raw,84.4,0.0,22.2,562
swordfish cooked,24.9,0.0,8.4,182
american shad raw,31.2,0.0,25.3,362
sardine canned in oil,36.7,0.0,17.1,310
anchovy canned in oil,1.2,0.0,0.4,8
salmon canned,79.1,0.0,20.3,520
sardines in tomato sauce canned,18.6,0.5,9.3,165
sockeye salmon canned,79.5,0.0,24.9,563
tuna canned,18.9,0.0,2.4,102
pink salmon canned,80.9,0.0,20.4,530
cod canned,71.0,0.0,2.7,328
eastern oyster canned,11.4,6.3,4.0,110
chum salmon canned,79.1,0.0,20.3,520
tuna canned in oil,47.2,0.0,14.4,331
wild pink salmon oceans,0.0,0.0,16.0,320
shrimp canned,26.1,0.0,1.7,128
alaska king crab raw,31.5,0.0,1.0,144
scallops fried,2.6,6.4,3.2,64
shrimp cooked,1.3,0.013,0.092,7
clams fried,1.3,1.0,1.0,19
alaska king crab cooked,25.9,0.0,2.1,130
scallops cooked,2.1,0.5,0.058,11
squid fried,14.4,6.2,6.0,140
oyster raw,4.7,2.5,1.2,41
abalone,14.5,5.1,0.6,89
queen crab raw,5.2,0.0,0.3,25
whelk cooked,13.5,4.4,0.2,78
oyster cooked,4.7,2.5,1.2,41
eastern oyster cooked,0.7,0.7,0.2,8
blue mussels cooked,47.6,14.8,9.0,344
octopus raw,4.2,0.6,0.3,23
spiny lobster cooked,43.0,5.1,3.2,233
blue mussels raw,17.9,5.5,3.4,129
queen crab cooked,20.2,0.0,1.3,98
dungeness crab cooked,28.3,1.2,1.6,140
dungeness crab raw,28.4,1.2,1.6,140
shrimp fried,1.3,4.8,3.2,52
shrimp raw,0.7,0.041,0.023,4
blue crab cooked,15.2,0.0,0.6,71
shrimp imitation,3.5,2.6,0.4,29
conch baked,33.4,2.2,1.5,165
squid raw,4.4,0.9,0.4,26
scallop raw,1.8,0.5,0.091,10
lobster raw,24.8,0.0,1.1,116
scallop imitation,3.6,3.0,0.1,28
blue crab raw,3.8,0.018,0.2,18
whelk raw,6.7,2.2,0.1,39
spiny lobster raw,43.1,5.1,3.2,234
clams canned,38.8,9.4,2.5,227
lobster cooked,28.5,0.0,1.3,134
eastern oyster fried,1.3,1.7,1.8,29
clams raw,33.3,8.1,2.2,195
octopus cooked,25.3,3.7,1.8,139
eastern oyster raw,0.7,0.8,0.2,8
oyster fried,2.1,6.7,3.0,61
sturgeon smoked,8.8,0.0,1.2,49
chinook salmon smoked,24.9,0.0,5.9,159
cisco smoked,4.6,0.0,3.4,50
haddock smoked,7.1,0.0,0.3,33
whitefish smoked,31.8,0.0,1.3,147
red salmon sockeye filets smoked,65.5,0.0,12.3,373
eggnog,11.6,20.4,10.6,224
beer light,0.8,5.4,0.0,96
beer budweiser,0.1,0.9,0.0,12
weizenbier erdinger,0.0,0.0,18.0,220
beer light budweiser,0.066,0.4,0.0,9
beer,1.5,11.7,0.0,142
root beer,0.0,52.3,0.0,202
whiskey sour mix,0.051,6.3,0.072,26
whiskey sour,0.0,13.9,0.0,158
tequila sunrise,0.6,23.8,0.2,232
daiquiri,0.035,4.2,0.036,112
pina colada,0.6,32.0,2.7,245
whiskey,0.0,0.1,0.0,58
rum,0.0,0.0,0.0,49
vodka smirnoff,0.0,2.0,0.4,13
